"ID","CM_ID","TIME_SERIES_NAME","TS_ID","RELATIVE_ORDER","CM_ASSOCIATION","CM_CALCULATION_HORIZON","IS_OVERRIDE","EXPRESSION","EXPRESSION_NAME","RELATIVE_PERIOD_POSITION","CM_CALCULATION_PLANE","RECURSES_ON","MATH_EXPRESSION_TYPE","IS_DEPENDENT_ON_ETL","IS_NDCOUNT_PRESENT","IS_IPERIOD_PRESENT","CALENDAR_SUM_USED","PLANE_ID","TRIGGERING_EVENT","CONFIG_VERSION_ID","AUDIT_ID"
929,1695,TS110,110,82,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
930,1696,TS111,111,90,POST_DEPENDENT,"27",0,value1-value2,xminusy,0,PRODUCT~~ALL~~DC~~SOURCE,,,0,0,0,0,,,1,125
931,1697,TS112,112,98,POST_DEPENDENT,"27",0,value1-value2,xminusy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
932,1698,TS113,113,106,POST_DEPENDENT,"27",0,value1*value2,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
933,1699,TS114,114,114,POST_DEPENDENT,"27",0,value1,xequalsy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
934,1700,TS115,115,122,POST_DEPENDENT,"27",0,value1 * 0.05,xmultipliedconstant,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
935,1701,TS116,116,165,POST_DEPENDENT,"27",0,value1* value2,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
936,1702,TS117,117,320,POST_DEPENDENT,"27",0,value1*value2,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
937,1703,TS118,118,411,POST_INDEPENDENT,"63",1,"Scenario(B,value1)",,0,PRODUCT~~ALL~~ALL~~SOURCE,,,0,0,0,0,,,1,125
938,1704,TS119,119,431,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
939,1705,TS120,120,447,POST_DEPENDENT,"27",1,value1/nodetodetailcount1 * value2,avg_by_leafcount_mby_y,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
940,1706,TS121,121,457,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
941,1707,TS122,122,465,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
942,1708,TS123,123,473,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
943,1709,TS124,124,481,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
944,1710,TS125,125,489,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
945,1711,TS126,126,2,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
946,1712,TS127,127,50,POST_INDEPENDENT,"27",0,value1,xequalsy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
947,1713,TS128,128,13,POST_INDEPENDENT,"63",1,value1,xequalsy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
948,1714,TS129,129,22,POST_INDEPENDENT,"27",1,value1*value2,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
949,1715,TS130,130,30,POST_INDEPENDENT,"27",0,value1,xequalsy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
950,1716,TS131,131,38,POST_RATIO,"27",0,value1,xequalsy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
951,1717,TS132,132,58,POST_DEPENDENT,"27",1,value1,xequalsy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
952,1718,TS133,133,67,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
953,1719,TS134,134,75,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
954,1720,TS135,135,83,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
955,1721,TS136,136,91,POST_DEPENDENT,"27",1,/* case when (ePeriodId1 = iPeriodId) then */ value1 + value2/nodetodetailcount2 + value3/nodetodetailcount3 + value4/nodetodetailcount4 /* when (ePeriodId1 > iPeriodId)  then */ value1 + value2/nodetodetailcount2 + value3/nodetodetailcount3 + value4/nodetodetailcount4 + value5/nodetodetailcount5 /* else */ 0 /* end */  ,currvsrollingv2,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
956,1722,TS137,137,99,POST_DEPENDENT,"63",0,value1*value2,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
957,1723,TS138,138,107,POST_DEPENDENT,"27",0,value1 - (value2 * value3),xminusymultiz,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
